name,cdsCode
La Costa Heights Elementary,37680806106132
El Camino Creek Elementary,37680806117709
Julian Elementary,37681636038327
Capri Elementary,37680806066989
San Pasqual High,37681063730058
Julian Junior High,37681636105845
Julian High,37681713733219
Julian Charter,37681633731239
La Costa Canyon High,37683463731007
Mission Estancia Elementary,37680806108534
Olivenhain Pioneer Elementary,37680806112445
Diegueno Middle,37683466104749
Paul Ecke-Central Elementary,37680806038145
Flora Vista Elementary,37680806099402
Park Dale Lane Elementary,37680806095046
Sunset High (Continuation),37683463737384
Oak Crest Middle,37683466059737
Ocean Knoll Elementary,37680806038152
Ramona Elementary,37683046039036
San Dieguito HS Academy,37683463737418
Future Bound Independent Study Secondary,37683040102178
Montecito High (Continuation),37683043735958
Mt. Woodson Elementary,37683046107999
Westwood Elementary,37682966070858
Hanson Elementary,37683046039028
Olive Peirce Middle,37683046105563
Ramona High,37683043735974
Chaparral Elementary,37682966097216
R. Roger Rowe Elementary,37683126039051
R. Roger Rowe Middle,37683126070908
Painted Rock Elementary,37682966085088
Barnett Elementary,37683046110720
James Dukes Elementary,37683046105555
Solana Vista Elementary,37683876070882
Turtleback Elementary,37682966109326
Poway High,37682963735867
Skyline Elementary,37683876040455
Solana Santa Fe Elementary,37683876111181
Bernardo Heights Middle,37682966107460
Earl Warren Middle,37683466061998
Rancho Bernardo High,37682963730819
Rolling Hills Elementary,37682966097208
Highland Ranch Elementary,37682966110886
Twin Peaks Middle,37682966070866
Tierra Bonita Elementary,37682966095053
Abraxas Continuation High,37682963735842
Adobe Bluffs Elementary,37682966110878
Los Penasquitos Elementary,37682966070841
Black Mountain Middle,37682966093223
Sunset Hills Elementary,37682966093231
Mt. Carmel High,37682963730074
Shoal Creek Elementary,37682966114854
Midland Elementary,37682966038996
Meadowbrook Middle,37682966038988
Deer Canyon Elementary,37682966109300
Mesa Verde Middle,37682966111306
Sundance Elementary,37682966099444
Torrey Pines High,37683463730033
Pomerado Elementary,37682966039002
Ashley Falls Elementary,37680566115620
Garden Road Elementary,37682966038970
Solana Highlands Elementary,37683876106140
Del Mar Hills Elementary,37680566088983
Valley Elementary,37682966039010
Morning Creek Elementary,37682966109318
Carmel Creek Elementary,37683876112353
Carmel Valley Middle,37683466117352
Canyon View Elementary,37682966106520
Del Mar Heights Elementary,37680566038111
Creekside Elementary,37682966117469
Carmel Del Mar Elementary,37680566110696
Park Village Elementary,37682966111314
Dingeman Elementary,37683386112726
Marshall Middle,37683386115331
Ericson Elementary,37683386089015
Sage Canyon,37680566117923
Torrey Hills,37680566120596
Sandburg Elementary,37683386089049
Hage Elementary,37683386109599
Hickman Elementary,37683386089023
Challenger Middle,37683386107056
Murdock Elementary,37681976070833
Hoover High,37683383732997
La Mesa Dale Elementary,37681976038475
Mann Middle,37683386059646
Helix High,37681303732732
Wilson Middle,37683386061980
Rancho San Diego Elementary,37679916106025
Charter School of San Diego,37683383730959
Las Palmas,37682216038780
Lincoln Acres,37682216038798
John A. Otis Elementary,37682216038756
National City Middle,37684116059794
Kimball,37682216038772
Clover Flat Elementary,37682136085054
Olivewood,37682216038806
Valley Vista Elementary,37680236038038
Sweetwater High,37684113738226
Marshall (Thurgood) Elementary,37680236116396
Rosebank Elementary,37680236037998
Lakeview Elementary,37681896038368
Whitman Elementary,37683386040307
Kumeyaay Elementary,37683386112460
Muirlands Middle,37683386059687
Vista Grande Elementary,37683386099089
PRIDE Academy at Prospect Avenue,37683616040380
Chet F. Harritt Elementary,37683616040364
Shadow Hills Elementary,37679676106256
Mountain View Learning Academy,37679676109953
Creekside Early Learning Center,37679676118723
Winter Gardens Elementary,37681896038392
Tierrasanta Elementary,37683386089056
De Portola Middle,37683386106181
Sequoia Elementary,37683386040133
Pepper Drive Elementary,37683616040372
Canyon Hills High,37683383730173
Mt. Everest Academy,37683383730751
Farb Middle,37683386099063
Boulder Oaks Elementary,37679676109086
Miller Elementary,37683386093256
Bird Rock Elementary,37683386039242
Ross Elementary,37683386040109
Riley/New Dawn,37683386040083
Sessions Elementary,37683386040141
Chula Vista Learning Community Charter,37680236115778
Chula Vista Senior High,37684113731064
Kellogg (Karl H.) Elementary,37680236037923
Rice (Lilian J.) Elementary,37680236037931
Castle Park Elementary,37680236037824
Options Secondary,37684113731155
Parkview Elementary,37680236066971
Alta Vista Academy,37684113731460
Palomar Elementary,37680236037972
Cottonwood Community Day,37682133731080
Potrero Elementary,37682136097190
Castle Park Senior High,37684113730801
Lauderbach (J. Calvin) Elementary,37680236037907
Castle Park Middle,37684116059752
Sweetwater Community Day,37684116117154
Palomar High,37684113732047
Valle Lindo Elementary,37680236038020
Loma Verde Elementary,37680236037949
Montgomery (John J.) Elementary,37680236037915
Otay Elementary,37680236095038
Bayside STEAM Academy,37683956040463
Finney (Myrtle S.) Elementary,37680236037964
Lafayette Elementary,37683386039853
Cadman Elementary,37683386039309
W. D. Hall Elementary,37679916037741
Clairemont Canyons Academy,37683386039887
Joan MacQueen Middle,37679676037535
Ocean View Hills,37683796119341
Scripps Elementary,37683386119135
Westview High,37682963731528
Vallecitos Elementary,37684376040562
San Jose Valley Continuation High,37754163731015
Nichols Elementary,37735696119713
Hannalei Elementary,37684520100933
Ada W. Harris Elementary,37680076037758
Cardiff Elementary,37680076037766
High Tech High Media Arts,37683380108787
Curie Elementary,37683386039440
La Jolla Elementary,37683386039846
Hawthorne Elementary,37683386039721
Rios Elementary,37679916037733
La Jolla High,37683383733508
Alcott Elementary,37683386039119
Field Elementary,37683386039556
Madison High,37683383733698
Mission Bay High,37683383734431
Maryland Elementary,37684520111237
San Elijo Elementary,37737910111468
Monterey Ridge Elementary,37682960111187
Los Coches Creek Middle,37679910111005
Creative Performing and Media Arts,37683383731551
John Muir Language Academy,37683383730116
Magnolia Science Academy San Diego,37683380109157
Normal Heights Elementary,37683380111864
Cherokee Point Elementary,37683380108282
Ibarra Elementary,37683380108290
Veterans Elementary,37680230108662
Olympian High,37684110111831
Golden Hill K-8,37683380108266
Lincoln High,37683380114025
Porter Elementary,37683380108274
Wolf Canyon Elementary,37680230114009
Joyner Elementary,37683380114041
Rodriguez Elementary,37683380114033
Poinsettia Elementary,37735510113498
Louise Foussat Elementary,37735690113514
Ocean Air,37680560114686
Major General Raymond Murray High,37684520115451
Gompers Preparatory Academy,37683380119610
Innovation Middle,37683380116939
Quest Academy,37681970115543
Del Sur Elementary,37682960116475
Willow Grove Elementary,37682960116764
Innovations Academy,37683380118083
