WKT,schoolID,name,district,priv,child_density,med_income,cv_miles,minGrade,maxGrade,cd_pct,mi_pct,metric
"POINT (498319.129912279 3643094.27459922)","100150",St. Gregory the Great Catholic School,Poway Unified,Y,1.65356567420264e-05,250001,13.0965885561264,0,8,0.0631067961165049,0.96747572815534,0.0610542935243661
"POINT (475312.900711001 3654445.87235637)","100151",Village Gate Children's Academy,Vista Unified,Y,0.000123242190777574,226548,5.71831393767552,0,8,0.19126213592233,0.901456310679612,0.172414459421246
"POINT (484601.262398833 3650401.07169004)","100166",Lifetime Montessori School,Poway Unified,Y,3.47567548523683e-05,250001,5.36441325244685,0,6,0.083495145631068,0.96747572815534,0.0807795268168536
"POINT (478626.50363559 3646604.38880709)","100194",Del Mar Pines School,Solana Beach Elementary,Y,0.000222333069666008,250001,0.953299423864714,0,6,0.584466019417476,0.96747572815534,0.565456687717975
"POINT (486083.31490282 3640846.50445721)","100197",Good Shepherd Catholic School,San Diego Unified,Y,0.000200361615978661,137500,6.11571212310589,0,8,0.52621359223301,0.390776699029126,0.205632010557074
"POINT (493876.414308879 3645682.1704675)","100214",The Koonings Center,Poway Unified,Y,0.000128092807589152,220882,10.2288394865541,0,8,0.212135922330097,0.883495145631068,0.18742105759261
"POINT (474663.202213587 3656291.01544331)","100215",Saint John School,Encinitas Union Elementary,Y,0.00017158302808747,206833,6.93629333811589,0,8,0.404854368932039,0.861165048543689,0.348646432274484
"POINT (477834.996228767 3655375.33000117)","100317",The Rhoades School,Encinitas Union Elementary,Y,0.000101580969180857,245191,6.13514104839723,0,8,0.158252427184466,0.925242718446602,0.146421905928928
"POINT (482332.223668138 3650025.49066549)","100352",Diegueno Country School,Solana Beach Elementary,Y,7.77406091491897e-05,250001,4.10544197424247,0,6,0.119417475728155,0.96747572815534,0.11553350928457
"POINT (493964.93755218 3646774.21907371)","100361",Legacy Montessori School,Poway Unified,Y,0.000155753279394354,220882,10.3116595721538,0,6,0.330097087378641,0.883495145631068,0.291639174285984
"POINT (489364.87875565 3640035.92326943)","100386",Scripps Montessori,San Diego Unified,Y,0.000128152225077012,250001,8.17500085479597,0,6,0.214077669902913,0.96747572815534,0.207114949571119
"POINT (476230.818829412 3650321.15880077)","100393",LePort Montessori Solana Beach,Solana Beach Elementary,Y,8.87723364164646e-05,213400,3.07867147455805,0,6,0.14368932038835,0.867961165048544,0.124716749929305
"POINT (474289.635219819 3655300.64425796)","100401",Seeds of Hope Academy,Cardiff Elementary,Y,0.00014907895035744,182305,6.40947941198149,0,8,0.29126213592233,0.745631067961165,0.217174097464417
